date,equity,cash,positions
2025-12-17,1000000.0,1000000.0,0
2025-12-18,1000000.0,1000000.0,0
2025-12-19,1000000.0,1000000.0,0
2025-12-22,1000000.0,1000000.0,0
2025-12-23,1000000.0,1000000.0,0
2025-12-24,1000000.0,1000000.0,0
2025-12-25,1000000.0,1000000.0,0
2025-12-26,1000000.0,1000000.0,0
2025-12-29,1000000.0,1000000.0,0
2025-12-31,1000000.0,1000000.0,0
2026-01-05,1000000.0,1000000.0,0
2026-01-06,1000000.0,1000000.0,0
2026-01-07,1000000.0,1000000.0,0
2026-01-08,1000000.0,1000000.0,0
2026-01-09,1000000.0,1000000.0,0
2026-01-12,1000000.0,1000000.0,0
2026-01-13,1000000.0,1000000.0,0
2026-01-14,1000000.0,1000000.0,0
2026-01-15,1000000.0,1000000.0,0
2026-01-16,1000000.0,1000000.0,0
2026-01-19,1000000.0,1000000.0,0
2026-01-20,1000000.0,1000000.0,0
2026-01-21,1000000.0,1000000.0,0
2026-01-22,1000000.0,1000000.0,0
2026-01-23,1000000.0,1000000.0,0
2026-01-26,1000000.0,1000000.0,0
2026-01-27,1000000.0,1000000.0,0
2026-01-28,1000000.0,1000000.0,0
2026-01-29,1000000.0,1000000.0,0
2026-01-30,1000000.0,1000000.0,0
2026-02-02,980254.731092,546185.731092,3
2026-02-03,1028691.0432920001,458210.0432920001,4
2026-02-04,1030095.0432920001,458210.0432920001,4
2026-02-05,979408.7691920002,383961.7691920001,5
2026-02-06,975385.6457920001,460408.6457920001,4
2026-02-09,1027449.7178470001,642099.7178470001,2
2026-02-10,1013413.0960970002,520106.0960970001,3
2026-02-11,1006394.4075320001,541126.4075320001,3
2026-02-12,1063465.407532,541126.4075320001,3
2026-02-13,1034790.9138360001,439226.91383600014,4
2026-02-24,1065103.9138360003,439226.91383600014,4
2026-02-25,1045407.4851620002,358391.4851620002,5
2026-02-26,1068304.4851620002,358391.4851620002,5
2026-02-27,1059769.4851620002,358391.4851620002,5
2026-03-02,1048006.1089520002,561774.1089520002,4
2026-03-03,1029692.5057060001,450305.50570600014,5
2026-03-04,1025938.0250900001,737115.0250900001,3
2026-03-05,1026738.6363320001,832166.6363320001,2
2026-03-06,1021670.4838360001,671349.4838360001,3
2026-03-09,1012309.7852360001,772546.7852360001,2
2026-03-10,1026254.7852360001,772546.7852360001,2
2026-03-11,1029925.251044,622054.251044,3
2026-03-12,1030678.251044,622054.251044,3
2026-03-13,1020649.467652,654121.467652,3
2026-03-16,1014021.467652,654121.467652,3
2026-03-17,990815.4013629999,565288.4013629999,4
2026-03-18,1007586.507363,671076.507363,3
2026-03-19,1009060.507363,671076.507363,3
2026-03-20,1018443.507363,671076.507363,3
2026-03-23,1010637.2803079999,553787.2803079999,4
2026-03-24,1024987.9055639999,690768.9055639999,3
2026-03-25,1035968.9055639999,690768.9055639999,3
2026-03-26,1022183.9055639999,690768.9055639999,3
2026-03-27,1031791.9055639999,690768.9055639999,3
2026-03-30,1026234.786445,701134.786445,3
2026-03-31,997781.354295,568720.354295,4
2026-04-01,1020902.5292359999,625547.5292359999,3
2026-04-02,1013784.4312369999,525348.4312369999,4
2026-04-03,1068895.8570869998,650946.8570869999,3
