date,equity,positions
2025-09-16,1000000.0,0
2025-09-17,1000000.0,0
2025-09-18,1000000.0,0
2025-09-19,1000000.0,0
2025-09-22,1000000.0,0
2025-09-23,1000000.0,0
2025-09-24,1000000.0,0
2025-09-25,1000000.0,0
2025-09-26,1000000.0,0
2025-09-29,1000000.0,0
2025-09-30,1000000.0,0
2025-10-09,1000000.0,0
2025-10-10,1000000.0,0
2025-10-13,1000000.0,0
2025-10-14,1000000.0,0
2025-10-15,1000000.0,0
2025-10-16,1000000.0,0
2025-10-17,1000000.0,0
2025-10-20,1000000.0,0
2025-10-21,1000000.0,0
2025-10-22,1000000.0,0
2025-10-23,1000000.0,0
2025-10-24,1000000.0,0
2025-10-27,1000000.0,0
2025-10-28,1000000.0,0
2025-10-29,1000000.0,0
2025-10-30,1000000.0,0
2025-10-31,1000000.0,0
2025-11-03,1000000.0,0
2025-11-04,1000000.0,0
2025-11-05,1000000.0,0
2025-11-06,1000000.0,0
2025-11-07,1000000.0,0
2025-11-10,1000000.0,0
2025-11-11,1000000.0,0
2025-11-12,1000000.0,0
2025-11-13,1000000.0,0
2025-11-14,1000000.0,0
2025-11-17,1000000.0,0
2025-11-18,1000000.0,0
2025-11-19,1000000.0,0
2025-11-20,1000000.0,0
2025-11-21,1000000.0,0
2025-11-24,1000000.0,0
2025-11-25,1000000.0,0
2025-11-26,1000000.0,0
2025-11-27,1000000.0,0
2025-11-28,1000000.0,0
2025-12-01,1000000.0,0
2025-12-02,1000000.0,0
2025-12-03,1000000.0,0
2025-12-04,1000000.0,0
2025-12-05,1000000.0,0
2025-12-08,1000000.0,0
2025-12-09,1000000.0,0
2025-12-10,1000000.0,0
2025-12-11,1000000.0,0
2025-12-12,1000000.0,0
2025-12-15,1000000.0,0
2025-12-16,1000000.0,0
2025-12-17,1000000.0,0
2025-12-18,1000000.0,0
2025-12-19,1000000.0,0
2025-12-22,1000000.0,0
2025-12-23,1000000.0,0
2025-12-24,1000000.0,0
2025-12-25,1000000.0,0
2025-12-26,1000000.0,0
2025-12-29,1000000.0,0
2025-12-30,1000000.0,0
2025-12-31,1000000.0,0
2026-01-05,1000000.0,0
2026-01-06,1000000.0,0
2026-01-07,1000000.0,0
2026-01-08,1000000.0,0
2026-01-09,1000000.0,0
2026-01-12,1000000.0,0
2026-01-13,1000000.0,0
2026-01-14,1000000.0,0
2026-01-15,1000000.0,0
2026-01-16,1000000.0,0
2026-01-19,1000000.0,0
2026-01-20,1000000.0,0
2026-01-21,1000000.0,0
2026-01-22,1000000.0,0
2026-01-23,1000000.0,0
2026-01-26,1000000.0,0
2026-01-27,1000000.0,0
2026-01-28,1000000.0,0
2026-01-29,1000000.0,0
2026-01-30,1022079.6450000001,5
2026-02-02,1010377.6210000002,4
2026-02-03,1046483.4210000002,5
2026-02-04,1044352.7930000002,4
2026-02-05,1022745.5250000003,6
2026-02-06,1020795.1410000003,6
2026-02-09,1046964.7650000004,5
2026-02-10,1032901.1270000003,6
2026-02-11,1033369.1270000003,6
2026-02-12,1050605.3080000002,4
2026-02-13,1036693.5330000003,5
2026-02-24,1039479.4250000004,1
2026-02-25,1037753.3140000004,5
2026-02-26,1038604.5170000003,5
2026-02-27,1033585.0570000004,6
2026-03-02,1028012.3370000004,4
2026-03-03,1014039.2310000004,6
2026-03-04,1017244.4800000004,4
2026-03-05,1016636.6880000004,5
2026-03-06,1010233.6880000004,5
2026-03-09,1014885.1120000004,4
2026-03-10,1024798.4120000004,4
2026-03-11,1045636.6400000004,6
2026-03-12,1045955.7120000004,5
2026-03-13,1047561.7910000004,6
2026-03-16,1054838.7910000004,6
2026-03-17,1036196.7910000004,6
2026-03-18,1032593.5710000005,6
2026-03-19,1023670.5710000005,6
2026-03-20,1038194.8470000005,5
2026-03-23,1034512.6470000006,6
2026-03-24,1030873.6470000006,6
2026-03-25,1035573.2490000005,5
2026-03-26,1026313.9090000005,5
2026-03-27,1035796.6810000004,6
2026-03-30,1033827.6810000004,6
2026-03-31,1019101.5910000005,5
2026-04-01,1028141.0500000005,5
2026-04-02,1025481.0200000005,4
2026-04-03,1055058.2710000006,3
