type,symbol,price,quantity,value,commission,date,reason,pnl,pnl_rate
BUY,002049.SZ,76.13606,1900,144658.514,144.658514,,多因子得分: 0.24,,
BUY,688012.SH,270.72044999999997,400,108288.18,108.28818,,多因子得分: 0.49,,
BUY,600438.SH,22.702679999999997,4900,111243.13199999998,111.24313199999999,,多因子得分: 1.27,,
SELL,688012.SH,267.76196999999996,400,107104.78799999999,107.10478799999999,,多因子得分转负: -0.24,-1291.6801800000103,-0.011916257067112962
SELL,600438.SH,21.23874,4900,104069.826,104.069826,,多因子得分转负: -0.33,-7284.549131999986,-0.0654177181935137
BUY,688012.SH,279.81954,400,111927.816,111.927816,,多因子得分: 0.69,,
SELL,002049.SZ,75.07485000000001,1900,142642.21500000003,142.64221500000002,,多因子得分转负: -0.18,-2160.9575139999797,-0.014923412771160466
BUY,002920.SZ,119.41929999999998,1100,131361.22999999998,131.36122999999998,,多因子得分: 1.64,,
BUY,300474.SZ,78.89881999999999,1400,110458.34799999998,110.45834799999999,,多因子得分: 1.29,,
BUY,688390.SH,60.110049999999994,1500,90165.075,90.165075,,多因子得分: 0.92,,
BUY,688050.SH,62.22215999999999,1300,80888.80799999999,80.888808,,多因子得分: 0.89,,
BUY,300015.SZ,11.25124,6100,68632.564,68.632564,,多因子得分: 0.86,,
BUY,002405.SZ,8.778769999999998,6700,58817.758999999984,58.81775899999999,,多因子得分: 0.97,,
BUY,002049.SZ,76.56648999999999,600,45939.89399999999,45.939893999999995,,多因子得分: 0.69,,
SELL,300474.SZ,74.95497,1400,104936.958,104.936958,,多因子得分转负: -0.37,-5631.848347999985,-0.05093523692635808
BUY,688981.SH,120.57045,400,48228.18,48.22818,,多因子得分: 1.96,,
SELL,688390.SH,57.79215,1500,86688.225,86.688225,,多因子得分转负: -0.20,-3567.0150749999884,-0.03952141805878398
BUY,002371.SZ,481.90142,100,48190.142,48.190142,,多因子得分: 1.63,,
SELL,002920.SZ,122.57730000000001,1100,134835.03,134.83503,,多因子得分转负: -0.16,3342.438770000008,0.02541921745350343
BUY,300468.SZ,39.36932999999999,1900,74801.72699999998,74.80172699999999,,多因子得分: 2.16,,
SELL,002371.SZ,452.3472,100,45234.72,45.23472,,多因子得分转负: -0.31,-3003.612141999998,-0.06226608609017024
BUY,002747.SZ,23.683659999999996,3100,73419.34599999999,73.41934599999999,,多因子得分: 2.06,,
SELL,688050.SH,60.59934,1300,78779.14199999999,78.779142,,多因子得分转负: -0.30,-2190.554808000001,-0.027054007787559963
BUY,688235.SH,301.19088999999997,200,60238.17799999999,60.23817799999999,,多因子得分: 2.36,,
SELL,300468.SZ,36.13383,1900,68654.277,68.65427700000001,,多因子得分转负: -0.15,-6222.251726999981,-0.08310016279849626
BUY,300033.SZ,372.37199999999996,200,74474.4,74.4744,,多因子得分: 3.14,,
SELL,688981.SH,123.50636999999999,400,49402.547999999995,49.402547999999996,,多因子得分转负: -0.62,1126.1398199999967,0.02332691810461854
BUY,688787.SH,183.84365999999997,300,55153.09799999999,55.15309799999999,,多因子得分: 3.07,,
SELL,300015.SZ,11.318670000000001,6100,69043.887,69.043887,,多因子得分转负: -0.44,342.6904360000044,0.004988129074007672
SELL,002405.SZ,10.4895,6700,70279.65,70.27964999999999,,多因子得分转负: -0.35,11403.073241000013,0.19367758570061427
SELL,688235.SH,294.2055,200,58841.09999999999,58.84109999999999,,多因子得分转负: -0.57,-1457.316178000001,-0.02416839894596943
SELL,300033.SZ,364.62501000000003,200,72925.00200000001,72.925002,,多因子得分转负: -0.93,-1623.872399999993,-0.021782654843142648
BUY,002156.SZ,51.06100999999999,2000,102122.01999999997,102.12201999999998,,多因子得分: 2.26,,
BUY,688008.SH,143.14299999999997,600,85885.79999999999,85.88579999999999,,多因子得分: 0.81,,
BUY,688041.SH,254.46420999999998,200,50892.842,50.892841999999995,,多因子得分: 0.72,,
BUY,603160.SH,83.06298,800,66450.38399999999,66.45038399999999,,多因子得分: 0.72,,
SELL,688787.SH,164.10573000000002,300,49231.719000000005,49.231719000000005,,多因子得分转负: -0.27,-5976.532097999989,-0.10825432755315986
BUY,688390.SH,89.71962999999998,700,62803.74099999999,62.80374099999999,,多因子得分: 1.93,,
SELL,688012.SH,353.10654,400,141242.616,141.242616,,多因子得分转负: -0.68,29202.872184000007,0.2606474380373373
BUY,688045.SH,53.21315999999999,1400,74498.42399999998,74.49842399999999,,多因子得分: 2.94,,
SELL,002747.SZ,24.335639999999998,3100,75440.484,75.440484,,多因子得分转负: -0.79,1947.7186540000112,0.026502182151266953
SELL,688041.SH,268.04169,200,53608.338,53.608338,,多因子得分转负: -0.54,2664.6031580000054,0.05230482543661488
BUY,300015.SZ,11.421409999999998,7400,84518.43399999998,84.51843399999998,,多因子得分: 1.03,,
BUY,002230.SZ,61.06099999999999,1100,67167.09999999999,67.16709999999999,,多因子得分: 0.92,,
SELL,002049.SZ,84.17574,600,50505.444,50.505444000000004,,多因子得分转负: -0.42,4519.610106000007,0.09828266062148552
SELL,002156.SZ,51.41853,2000,102837.06,102.83706,,多因子得分转负: -0.61,612.9179800000275,0.005995824155512219
SELL,688008.SH,162.01782,600,97210.692,97.210692,,多因子得分转负: -0.15,11239.006200000003,0.13072915920418074
SELL,688390.SH,89.90001,700,62930.007,62.930006999999996,,多因子得分转负: -0.34,63.46225900000718,0.001009475854947356
BUY,300570.SZ,125.22509999999998,800,100180.07999999999,100.18007999999999,,多因子得分: 1.73,,
BUY,300394.SZ,248.67843,300,74603.529,74.603529,,多因子得分: 1.51,,
BUY,688008.SH,182.03184999999996,400,72812.73999999999,72.81273999999999,,多因子得分: 1.49,,
BUY,300347.SZ,63.07300999999999,1100,69380.31099999999,69.38031099999999,,多因子得分: 1.17,,
SELL,603160.SH,80.7192,800,64575.36,64.57536,,多因子得分转负: -0.65,-1941.4743839999865,-0.029187714688764417
BUY,300502.SZ,439.43899999999996,100,43943.899999999994,43.94389999999999,,多因子得分: 1.45,,
