type,symbol,price,qty,value,reason,pnl,pnl_rate,date
BUY,300394.SZ,224.0,500,112000.0,"得分:4.02, RSI:63",,,
BUY,688205.SH,157.0,600,94200.0,"得分:2.28, RSI:54",,,
BUY,688008.SH,162.18,500,81090.0,"得分:1.59, RSI:68",,,
BUY,601012.SH,18.77,4500,84465.0,"得分:0.63, RSI:53",,,
BUY,688120.SH,192.0,300,57600.0,"得分:0.37, RSI:66",,,
BUY,300308.SZ,649.0,100,64900.0,"得分:2.98, RSI:61",,,
SELL,601012.SH,17.88,4500,80379.54,趋势破坏 (score=-2.21),-4169.925000000003,-0.04931935406096305,2026-01-30
SELL,688120.SH,188.88,300,56607.336,趋势破坏 (score=-0.56),-1050.2639999999883,-0.018215534465534266,2026-01-30
SELL,300308.SZ,591.0,100,59040.9,个股止损,-5923.999999999993,-0.09118770289802637,2026-02-02
BUY,688195.SH,214.0,300,64200.0,"得分:3.22, RSI:64",,,
BUY,300502.SZ,439.0,100,43900.0,"得分:3.11, RSI:67",,,
SELL,300394.SZ,270.0,500,134865.0,个股止盈,22753.000000000015,0.20294883687740847,2026-02-03
SELL,688205.SH,191.48,600,114773.112,个股止盈,20478.91200000001,0.21718103552498472,2026-02-03
BUY,688205.SH,191.48,500,95740.0,"得分:10.57, RSI:74",,,
SELL,688195.SH,247.0,300,74025.9,个股止盈,9761.700000000004,0.15189950236679217,2026-02-04
SELL,300502.SZ,399.2,100,39880.08,个股止损,-4063.8199999999924,-0.09247745420866134,2026-02-04
BUY,300394.SZ,266.66,300,79998.00000000001,"得分:8.05, RSI:75",,,
BUY,688195.SH,247.0,300,74100.0,"得分:7.56, RSI:67",,,
BUY,300750.SZ,365.03,200,73006.0,"得分:1.66, RSI:62",,,
BUY,002812.SZ,52.96,1400,74144.0,"得分:1.52, RSI:47",,,
SELL,688205.SH,173.76,500,86793.12,个股止损,-9042.619999999995,-0.0943554043616713,2026-02-05
BUY,688205.SH,173.76,400,69504.0,"得分:3.80, RSI:59",,,
SELL,688195.SH,221.01,300,66236.697,个股止损,-7937.402999999991,-0.10701043895375868,2026-02-06
BUY,688195.SH,221.01,300,66303.0,"得分:2.22, RSI:62",,,
SELL,688008.SH,163.54,500,81688.23,趋势破坏 (score=-0.99),517.1399999999994,0.006370987503062968,2026-02-06
